index,s1,r,s2
0,Receiving,from,some acquaintance
0,Receiving,from,whom you
0,steady stream of unwanted text messages,from,some acquaintance
0,steady stream of unwanted text messages,from,whom you
0,some acquaintance,gave,number
0,whom you,gave,number
0,number,is,true nightmare scenario
0,A man,named,Jonathan Anozie
0,Jonathan Anozie,is living,nightmare
0,nightmare,reports,TMZ
0,nightmare,reports,offending creepster
0,TMZ,is,Papa John
0,offending creepster,is,Papa John
0,real-life Papa John ' s founder John Schnatter,sending,texts
0,real-life Papa John ' s founder John Schnatter,sending,automated marketing system
0,texts,for,pizza chain
0,automated marketing system,for,pizza chain
0,Anozie ' s mobile notifications,with,offers
0,Beverly Hills,is suing,pizza chain
0,California,is suing,pizza chain
0,resident,is suing,pizza chain
0,The lawsuit,filed in,United States District Court Central District of California
0,United States District Court Central District of California,claims,Anozie
0,Anozie,replied,STOP
0,STOP,on,multiple occasions
0,STOP,on,messages
0,frustration,caused,annoyance
0,The alleged deluge,caused,plaintiff
0,The alleged deluge,caused,significant amount of anxiety
0,The alleged deluge,caused,frustration
0,The alleged deluge,caused,annoyance
1,The chef,at,Denver airport
1,Fred Armisen,at,Denver airport
1,unifying sushi,that,anyone
1,anyone,can eat,nobody
1,chef Francis,specializing in,airport-style sushi
1,proprietor of Kuko,specializing in,airport-style sushi
1,Portland,specializing in,airport-style sushi
1,only restaurant,specializing in,airport-style sushi
1,His goal,is to serve,""" most borderline not-sushi sushi"
1,""" most borderline not-sushi sushi",in,world
1,sushi,makes,guests
1,The chef,played by,Fred Armisen
1,Fred Armisen,was inspired to open,restaurant
1,restaurant,by,meal
1,meal,at,Denver airport
1,meal,at,he first
1,Denver airport,discovered,sushi
1,he first,discovered,sushi
1,some-reason,crumbled in,hands
1,flavor,crumbled in,hands
1,no love,for,chef
1,Francis,is,star
1,star,of,Portlandia
1,star,of,hilarious Chef
1,Portlandia,s,Table parody
1,hilarious Chef,s,Table parody
1,Table parody,references,every stylistic trademark of David Gelb ' s
1,every stylistic trademark of David Gelb ' s,hit,Netflix series
1,This clip,has,everything
1,This clip,has,candid origin story
1,This clip,has,shots of chef
1,everything,walking through,nature
1,everything,walking through,frenetic dinner service
1,everything,walking through,lots of intense classical music
1,candid origin story,walking through,nature
1,candid origin story,walking through,frenetic dinner service
1,candid origin story,walking through,lots of intense classical music
1,shots of chef,walking through,nature
1,shots of chef,walking through,frenetic dinner service
1,shots of chef,walking through,lots of intense classical music
2,three hour-long waits,at,some bakeries
2,some bakeries,in,Hamtramck morning
2,Hamtramck morning,as,patrons
2,region,gathered to take,part
2,part,in,annual Paczki Day tradition of stand
2,past years Fat Tuesday,has fallen in,midst of extreme cold snap
2,past years Fat Tuesday,has fallen in,snow storm
2,past years Fat Tuesday,has fallen in,2017 ' s crowds
2,New Martha Washington Bakery,snaked through,shops
2,New Palace Bakery lines,snaked through,shops
2,shops,out,door
2,door,clear down,full city blocks
2,orders,get,crush of customers
2,crush of customers,out,door
2,Chris Gerard,stopped by,traditional fried Polish pastry epicenter today
2,Eater photographers Michelle,stopped by,metro Detroit
2,Eater photographers Michelle,stopped by,traditional fried Polish pastry epicenter today
2,Eater photographers Michelle,stopped by,scene
2,Chris Gerard,stopped by,metro Detroit
2,Chris Gerard,stopped by,scene
2,insane morning rush photos,in,gallery
3,McDonald ' s endeavor,in,U.S.
3,McDonald ' s endeavor,in,Canada
3,McDonald ' s endeavor,in,Europe
3,McDonald ' s endeavor,in,Brazil
3,The fast-food behemoth,in,U.S.
3,The fast-food behemoth,in,Canada
3,The fast-food behemoth,in,Europe
3,The fast-food behemoth,in,Brazil
3,Fortune,in,U.S.
3,Fortune,in,Canada
3,Fortune,in,Europe
3,Fortune,in,Brazil
3,U.S.,in,Canada
3,U.S.,in,Europe
3,U.S.,in,Brazil
3,McDonald ' s,in,U.S.
3,McDonald ' s,in,Canada
3,McDonald ' s,in,Europe
3,McDonald ' s,in,Brazil
3,McDonald ' s endeavor,may come as,bit of surprise
3,McDonald ' s endeavor,may come as,The fast-food behemoth
3,bit of surprise,is pursuing,sustainable beef
3,The fast-food behemoth,is pursuing,sustainable beef
3,Fortune,reports,sustainable beef
3,sustainable beef,is funding,two sustainable beef pilot programs
3,two sustainable beef pilot programs,in,U.S.
3,U.S.,following,years of tests
3,years of tests,in,Canada
3,years of tests,in,Europe
3,years of tests,in,Brazil
3,The first program,involves,research partnership
3,research partnership,with,agricultural nonprofit Noble Foundation
3,agricultural nonprofit Noble Foundation,will seek out,ways
3,ways,in,sustainability
3,sustainability,can be improved across,entire U.S. beef supply chain
3,The first program,is putting up,$ 4.5 million
3,The first program,is putting up,cattle-grazing practices
3,McDonald ' s,is putting up,$ 4.5 million
3,McDonald ' s,is putting up,cattle-grazing practices
3,net-negative carbon impact,according to,statement
3,statement,from,company
3,McDonald ' s,will eliminate,deforestation ( cutting down of forests to make room to raise cattle )
3,deforestation ( cutting down of forests to make room to raise cattle ),from,sustainable beef
4,chef/owner Ren é Redzepi,in,restaurant manager James Spreadbury
4,chef/owner Ren é Redzepi,in,service director Lau Richter
4,chef/owner Ren é Redzepi,in,dishwasher Ali Sonko
4,noma in edition,s,selfies
4,noma in edition,s,champagne showers
4,selfies,at,Noma
4,selfies,at,acclaimed Copenhagen restaurant
4,champagne showers,at,Noma
4,champagne showers,at,acclaimed Copenhagen restaurant
4,Noma,closed,doors
4,acclaimed Copenhagen restaurant,closed,doors
4,doors,to,original location few days ago
4,chef/owner Ren é Redzepi,makes,plans
4,plans,for,what next iteration
4,what next iteration,will bring,chef/owner Ren é Redzepi
4,chef/owner Ren é Redzepi,has announced,partners
4,partners,in,restaurant
4,partners,in,restaurant manager James Spreadbury
4,partners,in,service director Lau Richter
4,partners,in,dishwasher Ali Sonko
4,chef/owner Ren é Redzepi,plans to gift,pieces
4,pieces,of,walls of Noma 1.0
4,walls of Noma 1.0,to,various staff members
4,New partners,close,doors
4,doors,to,Noma 1.0
4,doors,to,New partners
4,Noma 1.0,push towards,next rendition
4,New partners,push towards,next rendition
4,New partners,will open,doors
4,doors,to,space
4,space,at,end of year
4,New partners,are,you noma
4,you noma,in,edition
4,edition,will have,handful of partners
4,noma in edition,gives,me incredible joy
4,noma in edition,gives,world
4,me incredible joy,know that,restaurant managers Lau
4,me incredible joy,know that,James
4,me incredible joy,know that,dishwasher
4,me incredible joy,know that,Ali
4,world,know that,restaurant managers Lau
4,world,know that,James
4,world,know that,dishwasher
4,world,know that,Ali
4,restaurant managers Lau,have become,partners
4,James,have become,partners
4,dishwasher,have become,partners
4,Ali,have become,partners
4,partners,in,noma
4,only beginning,as,New partners
4,staff,with,piece of walls
5,A financial analyst,told,Reuters expansion
5,Reuters expansion,to,U.K.
5,U.K.,would be,""" logical step"
5,""" logical step",for,Amazon
5,Amazon,employed,same survey strategy
5,same survey strategy,before debuting,stateside
5,same survey strategy,before debuting,These stealth tactics
5,United States,launch,U.K.
5,similar,launch,U.K.
5,first international market,at,Aviate Global
5,Neil Campling,at,Aviate Global
5,senior analyst,at,Aviate Global
5,Aviate Global,told,Reuters
6,The AP 's report centers,in,Saudi Arabia
6,The AP 's report centers,in,capital city of Riyadh
6,popular Iranian restaurant chain,in,Saudi Arabia
6,popular Iranian restaurant chain,in,capital city of Riyadh
6,Shayah,in,Saudi Arabia
6,Shayah,in,capital city of Riyadh
6,The AP 's report centers,on,popular Iranian restaurant chain
6,The AP 's report centers,on,Shayah
6,popular Iranian restaurant chain,has,13 locations
6,Shayah,has,13 locations
6,13 locations,in,Saudi Arabia
6,Saudi Arabia,in,capital city of Riyadh
6,The Saudi-owned company,employed,Iranian chefs
6,Iranian chefs,taught,Saudi counterparts
6,Iranian chefs,taught,Iranian dishes
6,Saudi counterparts,like,saffron rice
6,Saudi counterparts,like,lamb skewers
6,Saudi counterparts,like,restaurant 's general manager
6,Iranian dishes,like,saffron rice
6,Iranian dishes,like,lamb skewers
6,Iranian dishes,like,restaurant 's general manager
6,saffron rice,says,Iranian employees
6,lamb skewers,says,Iranian employees
6,restaurant 's general manager,says,Iranian employees
6,Iranian employees,have left,Saudi
6,Iranian employees,have left,days
6,Iranian employees,have left,Iranians
6,Saudi,would be,work visas
6,days,would be,work visas
6,Iranians,would be,work visas
7,Sam Beall,in,Colorado
7,Walland,in,Colorado
7,Tenn. ( about 30 miles south of Knoxville ),in,Colorado
7,proprietor of Blackberry Farm,in,Colorado
7,Sam Beall,in,Walland
7,Sam Beall,in,Tenn. ( about 30 miles south of Knoxville )
7,proprietor of Blackberry Farm,in,Walland
7,proprietor of Blackberry Farm,in,Tenn. ( about 30 miles south of Knoxville )
7,Walland,died,late yesterday
7,Tenn. ( about 30 miles south of Knoxville ),died,late yesterday
7,late yesterday,in,skiing accident
7,skiing accident,in,Colorado
7,heartbreaking news,about,man they
7,The Beall family and Blackberry Farm team,welcome,thoughts
7,The Beall family and Blackberry Farm team,welcome,prayers
7,thoughts,of,whose lives
7,prayers,of,whose lives
7,whose lives,were touched by,Sam 's hospitable nature
7,whose lives,were touched by,visionary leadership
7,whose lives,were touched by,adventurous spirit
7,The Beall family and Blackberry Farm team,request,privacy
7,privacy,for,Beall family
7,Beall family,during,difficult time
7,household name,in,food world
7,Beall 's presence,in,food world
7,His father,founded,Ruby Tuesday
7,Sandy Beall,founded,Ruby Tuesday
7,Sandy,purchased,Blackberry Farm
7,wife Kreis,purchased,Blackberry Farm
7,Blackberry Farm,began,renovations
7,Blackberry Farm,began,redesigns
7,renovations,in,order
7,renovations,in,Blackberry Farm
7,redesigns,in,order
7,redesigns,in,Blackberry Farm
7,order,into,luxury lodge
7,order,into,farm
7,order,into,Blackberry Farm
7,Blackberry Farm,into,luxury lodge
7,Blackberry Farm,into,farm
7,luxury lodge,is,today designated member
7,farm,is,today designated member
7,Blackberry Farm,is,today designated member
7,today designated member,of,Relais & Chateaux fellowship
8,Glyphosate,in,Roundup
8,pride,in,beer industry
8,beer industry,boasting,500-year-old purity law
8,suds,produced in,country
8,The Food and Drug Administration,appears,German beer
8,Traces of glyphosate,have been found in,country 's 14 most popular brews
8,Traces of glyphosate,have been found in,Reuters
8,widely used herbicide,have been found in,country 's 14 most popular brews
8,widely used herbicide,have been found in,Reuters
8,Glyphosate,is,key ingredient
8,key ingredient,in,Roundup
8,key ingredient,in,popular weed killer
8,Roundup,developed by,American agrochemical company Monsanto
8,popular weed killer,developed by,American agrochemical company Monsanto
8,The Food and Drug Administration,would begin testing produce for,herbicide
8,herbicide,in,certain types of produce
8,certain types of produce,because,The Food and Drug Administration
8,The Food and Drug Administration,been found to be,possible carcinogen
8,Last March,at,World Health Organization
8,experts,at,World Health Organization
8,World Health Organization,concluded,glyphosate
8,glyphosate,causes,cancer
8,cancer,in,humans
8,The Munich Environmental Institute,discovered,traces of herbicide
8,activist,discovered,traces of herbicide
8,group,discovered,traces of herbicide
8,traces of herbicide,in,country 's beer
8,Germany,said,amount of glyphosate
8,Federal Institute for Risk,said,amount of glyphosate
8,risk,would have to drink,"around 1,000 liters ( 264 U.S. gallons )"
8,An adult,would have to drink,"around 1,000 liters ( 264 U.S. gallons )"
8,"around 1,000 liters ( 264 U.S. gallons )",of,beer
8,"around 1,000 liters ( 264 U.S. gallons )",of,enough quantities
8,beer,for,health
8,enough quantities,for,health
8,group,claims,The Food and Drug Administration
8,The Food and Drug Administration,found,traces
8,traces,above,0.1 microgram limit
8,0.1 microgram limit,allowed in,drinking water
9,studios of WNYC,produce,The Sporkful
9,Dan Pashman,produce,The Sporkful
9,Anne Noyes Saini,produce,The Sporkful
9,podcast,about,food
9,recently launched series,called,Other People 's Food
9,recently launched series,called,Pashman
9,recently launched series,called,series of guests
9,Other People 's Food,dig into,very hot topic
9,Pashman,dig into,very hot topic
9,series of guests,dig into,very hot topic
9,very hot topic,in,food world
9,city rife,with,foods
9,foods,from,cultures
9,foods,from,countries
9,foods,from,Dan Pashman
9,cultures,dives into,issues
9,countries,dives into,issues
9,Dan Pashman,dives into,issues
9,issues,arise,people
9,food,from,"culture "" they"
9,"A previous episode of "" Other People 's Food",featured,Chicago chef Rick Bayless
9,Chicago chef Rick Bayless,has drawn,some major criticism
9,some major criticism,for,comments
9,comments,on cooking,Mexican food
9,Mexican food,as,white man
9,The next episode of features actress Rosie Perez,was born in,New York
9,actress,was born in,New York
9,activist,was born in,New York
9,New York,to,Puerto Rican parents
10,A burglar broke into Tennessee,in,Dale 's Pale Ale
10,The intruder 's target,in,Knoxville
10,Knoxville Police Department,in,Dale 's Pale Ale
10,Eater,in,Dale 's Pale Ale
10,Knoxville PD,in,Dale 's Pale Ale
10,The thief,in,Some burger bandits
10,The thief,in,UK
10,A burglar,broke into,Tennessee restaurant
10,Tennessee restaurant,over,weekend
10,A burglar broke into Tennessee,got,thirst
10,The intruder 's target,was,Tomato Head restaurant
10,Tomato Head restaurant,in,Knoxville
10,Knoxville,as,WBIR
10,A burglar broke into Tennessee,forced,restaurant 's cash
10,A burglar broke into Tennessee,forced,restaurant 's cash register
10,A burglar broke into Tennessee,forced,rep
10,restaurant 's cash,for,Knoxville Police Department
10,restaurant 's cash register,for,Knoxville Police Department
10,rep,for,Knoxville Police Department
10,Knoxville Police Department,tells,Eater
10,Eater,via,email
10,email,realizing,A burglar broke into Tennessee
10,email,realizing,Eater
10,any cash,sought,solace
10,A burglar broke into Tennessee,sought,solace
10,solace,in,Dale 's Pale Ale
10,Dale 's Pale Ale,imbibing in,can of popular beer
10,can of popular beer,from,Colorado-based brewery Oskar Blues
10,beer,says,restaurant 's cash register
10,Knoxville PD,says,restaurant 's cash register
10,restaurant 's cash register,was,only thing
10,The thief,is,first
10,first,enter in,search of sustenance
10,first,enter in,Some burger bandits
10,search of sustenance,in,UK
10,Some burger bandits,in,UK
10,UK,broke into,soccer clubhouse
10,soccer clubhouse,cooked,themselves meal
10,themselves meal,leaving,note of thanks
10,note of thanks,for,"tasty treats ( along with nearly $ 1,500 of damage )"
10,"tasty treats ( along with nearly $ 1,500 of damage )",in,wake
10,another case,with,apparent thirst
10,raccoon,with,apparent thirst
10,apparent thirst,for,booze
10,booze,broke into,alcohol storage warehouse
10,alcohol storage warehouse,drank,much
11,London-based startup,launched,intriguing initiative
11,London-based startup,launched,London-based startup and major food delivery player
11,major food delivery player Deliveroo,launched,intriguing initiative
11,major food delivery player Deliveroo,launched,London-based startup and major food delivery player
11,intriguing initiative,providing,kitchen space
11,London-based startup and major food delivery player,providing,kitchen space
11,kitchen space,for,restaurant partners
11,restaurant partners,in,effort
11,restaurant partners,in,more customers
11,effort,reports,TechCrunch
11,more customers,reports,TechCrunch
11,Called,is to,bring ] restaurant brands
11,RooBox,is to,bring ] restaurant brands
11,intention of off-site kitchens,is to,bring ] restaurant brands
11,bring ] restaurant brands,to,areas of London
11,areas of London,have,large residential population
11,terms of available restaurants,via,Deliveroo app
11,delivery,from,"premium "" restaurants"
11,takeout,including,at least one Michelin-starred restaurant
11,"Deliveroo specializes in delivery from "" premium",delivers,food
11,food,within,2 kilometer ( 1.25 mile )
11,food,within,radius
11,2 kilometer ( 1.25 mile ),of,each restaurant
11,2 kilometer ( 1.25 mile ),of,"Deliveroo specializes in delivery from "" premium"
11,radius,of,each restaurant
11,radius,of,"Deliveroo specializes in delivery from "" premium"
11,customer,lives,options
11,restaurants,with,equipped kitchens
11,equipped kitchens,in,areas of London
11,restaurants,at,not kind of restaurants Deliveroo
11,not kind of restaurants Deliveroo,with,"Deliveroo specializes in delivery from "" premium"
11,"Deliveroo specializes in delivery from "" premium",can expand,customer base
12,General Mills,has issued,major recall of products
12,major recall of products,sold under,Gold Medal Flour label
12,10 million pounds of flour,according to,USA Today
12,10 million pounds of flour,according to,product
12,USA Today,s related to,E. coli outbreak
12,product,s related to,E. coli outbreak
12,E. coli outbreak,has sickened,38 people
12,38 people,in,20 states
12,leading provider of flour,for,150 years
12,150 years,felt,product
12,product,for,consumers
12,any doubt,handle,flour
12,any doubt,handle,Liz Nordlie
12,any doubt,handle,president of General Mills
12,opportunity,handle,flour
12,opportunity,handle,Liz Nordlie
12,opportunity,handle,president of General Mills
12,consumers,handle,flour
12,consumers,handle,Liz Nordlie
12,consumers,handle,president of General Mills
12,flour,baking,division
12,Liz Nordlie,baking,division
12,president of General Mills,baking,division
12,division,said in,prepared statement
12,General Mills,is working with,health officials
12,General Mills,is working with,outbreak of E. coli strain O121
13,Chipotle,in,Boston
13,Chipotle,on,February 8
13,A widespread E. coli outbreak,in,Boston
13,A widespread E. coli outbreak,on,February 8
13,Late Night With Conan O'Brien,on,Chipotle
13,Late Night With Conan O'Brien,in,Boston
13,Late Night With Conan O'Brien,on,February 8
13,Late Night With Conan O'Brien,on,"copy of Chipotle 's "" training video"
13,"copy of Chipotle 's "" training video",in,Boston
13,"copy of Chipotle 's "" training video",on,February 8
13,rough few months,for,Chipotle
13,A widespread E. coli outbreak,sickened,dozens of customers
13,A widespread E. coli outbreak,sickened,Chipotle
13,Chipotle,was,pesky norovirus disaster
13,pesky norovirus disaster,in,Boston
13,Boston,made,more than 100 diners
13,Chipotle,attempts to clean up,act
13,act,win,customers
13,customers,faces,several lawsuits
13,customers,faces,Chipotle
13,several lawsuits,will shutter,stores
13,Chipotle,will shutter,stores
13,stores,for,few hours
13,few hours,on,February 8
13,few hours,on,employees
13,February 8,about,food safety
13,employees,about,food safety
13,Late Night With Conan O'Brien,managed to get,hands
13,hands,on,"copy of Chipotle 's "" training video"
13,hands,on,Chipotle
13,"copy of Chipotle 's "" training video",offers,some insights
13,Chipotle,offers,some insights
13,Chipotle,Going,employees
13,steps of weddings,quit using,tortillas
13,steps of weddings,quit using,car windshields
13,tortillas,discontinue,"use of germ-spreading "" sneeze megaphones"
13,car windshields,discontinue,"use of germ-spreading "" sneeze megaphones"
14,Flynn 's identity,at,Toronto
14,Flynn 's identity,in,I
14,Christine Flynn - Executive Chef,at,Toronto
14,Toronto,has,quite imagination
14,Toronto,has,alternate persona
14,chef bros,takes,Christine Flynn - Executive Chef
14,ingredients,found at,fast food restaurants
14,ingredients,found at,corner stores
14,fast food restaurants,vending machines,junk food aisle
14,corner stores,vending machines,junk food aisle
14,Flynn 's identity,for,months
14,Flynn 's identity,for,"tonight "" shit"
14,months,hit,fan
14,"tonight "" shit",hit,fan
14,fan,is revealed on,Christine Flynn - Executive Chef
14,Christine Flynn - Executive Chef,in,email
14,Christine Flynn - Executive Chef,in,I
14,email,joke about,my b-rolodex
14,I,joke about,my b-rolodex
14,my b-rolodex,has gotten,year
14,incredible FEMPIRE,with,woman
14,incredible FEMPIRE,with,myth
14,incredible FEMPIRE,with,legend
14,Eater 's exclusive interview,with,woman
14,Eater 's exclusive interview,with,myth
14,Eater 's exclusive interview,with,legend
15,PepsiCo,in,America 's dining capital of New York City
15,America 's dining capital of New York City,in,city 's Chelsea neighborhood
15,Pepsi,in,America 's dining capital of New York City
15,PepsiCo,in,city 's Chelsea neighborhood
15,Pepsi,in,city 's Chelsea neighborhood
15,New York restaurant,in,city 's Chelsea neighborhood
15,PepsiCo chief marketing officer Seth Kaufman,in,city 's Chelsea neighborhood
15,"dreary , dystopian future",rule,world
15,"dreary , dystopian future",rule,best restaurant
15,brands,rule,world
15,brands,rule,best restaurant
15,world,in,America 's dining capital of New York City
15,best restaurant,in,America 's dining capital of New York City
15,America 's dining capital of New York City,might be run by,PepsiCo
15,later year,opens,Kola House
15,soft drink giant,opens,Kola House
15,Kola House,in,city 's Chelsea neighborhood
15,Pepsi,is opening,New York restaurant
15,New York restaurant,called,Kola House
15,Kola House,reports,Times
15,PepsiCo,from,rival Coca-Cola
15,rival Coca-Cola,by marketing to,most cutting edge of Americans
15,PepsiCo,for bringing,Pepsi
15,Pepsi,into,world
15,Pepsi,into,restaurant
15,world,appears to be,company 's attempt
15,world,appears to be,Generation Next
15,restaurant,appears to be,company 's attempt
15,restaurant,appears to be,Generation Next
15,PepsiCo chief marketing officer Seth Kaufman,told,Times
15,Times,is,pop-up
15,menu,will consult on,cocktails
15,executive chef,will consult on,cocktails
15,NYC bartender Alex Ott,will consult on,cocktails
15,no projected opening date,s on,track
15,no projected opening date,s on,service spring
15,bunch of Pepsi signage,will include,logo
15,bunch of Pepsi signage,will include,nothing
15,memorabilia,will include,logo
15,memorabilia,will include,nothing
16,Levi 's Stadium,in,Santa Clara
16,Levi 's Stadium,in,Calif.
16,Santa Clara,set to host,Super Bowl
16,Santa Clara,set to host,next Sunday
16,Calif.,set to host,Super Bowl
16,Calif.,set to host,next Sunday
16,the-art,in,NFL
16,the-art,in,most state-of-the-art venue in NFL
16,NFL,has,mobile app
16,most state-of-the-art venue in NFL,has,mobile app
16,many features,helps,fans
16,official app of big game,helps,fans
16,fans,avoid,long lines
16,long lines,found at,concession stands
16,concession stands,writes,Mobile Sports Report
16,Fans,can place,orders
16,orders,on,phones
16,phones,before picking up,food
16,phones,before picking up,beverages
16,food,at,express windows
16,beverages,at,express windows
16,express windows,around,stadium
16,The Super Bowl app,incorporates,features
16,features,from,Levi 's Stadium version
16,Levi 's Stadium version,takes,step
16,most state-of-the-art venue in NFL,allows,fans
16,most state-of-the-art venue in NFL,allows,drinks
16,fans,have,drinks
16,food delivery,is,San Francisco 49ers
16,San Francisco 49ers,play,home games
16,home games,at,stadium
16,most state-of-the-art venue in NFL,for,impatient and thirsty fans
16,nice touch,for,impatient and thirsty fans
17,iconic Louisiana brand Tabasco,on,Avery Island
17,restaurant,based on,idea
17,idea,that,people
17,people,love,hot sauce
17,people,love,iconic Louisiana brand Tabasco
17,The McIlhenny Company,produces,famous pepper sauce
17,famous pepper sauce,is,museum
17,famous pepper sauce,is,spokesperson
17,museum,tells,Eater
17,spokesperson,tells,Eater
17,iconic Louisiana brand Tabasco,will open,next week
17,next week,to,company 's restaurant
17,next week,to,headquarters
17,company 's restaurant,on,Avery Island
17,headquarters,on,Avery Island
17,Tabasco Sauce Visitors Center,will feed,fans ' curiosity
17,venue,will feed,fans ' curiosity
17,fans ' curiosity,with,inside look
17,inside look,into,world of Tabasco
17,world of Tabasco,from,sauce
17,sauce,was,first
17,first,created over,century ago
17,century ago,to,sauce
17,sauce,has impacted,culinary world
17,The formal opening,is scheduled for,"Tuesday , February 2"
17,The McIlhenny Company,opened,Tabasco-inspired restaurant
17,Tabasco-inspired restaurant,called,1868 ( year company was founded )
17,The eatery,are,part
17,museum,are,part
17,part,of,major expansion
17,part,of,company 's impending 150th anniversary
17,every dish,on,menu
17,menu,contains,Tabasco sauce
18,A Philadelphia-based food testing startup,has developed,technology
18,technology,called,illness-causing pathogens
18,illness-causing pathogens,in,foods
18,Invisible Sentinel,uses,small device
18,small device,designed to scan for,DNA of E. coli
18,small device,designed to scan for,salmonella
18,small device,designed to scan for,listeria
18,small device,designed to scan for,other food-born microorganisms
18,DNA of E. coli,in,order
18,salmonella,in,order
18,listeria,in,order
18,other food-born microorganisms,in,order
18,order,determine,safety of food item
18,order,determine,New York Times
18,recent months,has come under,fire
18,Chipotle,has come under,fire
18,fire,for,widespread incidence of E. coli
18,widespread incidence of E. coli,in,restaurants
18,restaurants,caused,dozens of illnesses ( and spurred several lawsuits )
18,listeria-related illnesses,recalled,bagged salads
18,Dole,recalled,bagged salads
18,bagged salads,after,one person
18,clear need,for,solution
18,solution,so,customers
18,customers,can avoid,ill effects
18,customers,can avoid,companies
18,ill effects,can steer,clear
18,companies,can steer,clear
18,clear,of,PR nightmares
18,clear,of,stock hits
18,clear,of,consequent complicated recovery plans
19,New Nordic pioneer chef Ren é Redzepi,in,Australia
19,Ren é Redzepi,in,Australia
19,Copenhagen restaurant,in,Australia
19,Noma,in,Australia
19,New Nordic pioneer chef Ren é Redzepi,announced,Ren é Redzepi
19,Ren é Redzepi,would be taking,Copenhagen restaurant
19,Ren é Redzepi,would be taking,Noma
19,Copenhagen restaurant,on,road
19,Noma,on,road
19,road,for,10-week pop
19,10-week pop,in,Australia
19,10-week pop,in,food world
19,The success of two Michelin star restaurant 's previous pop-ups,ran for,five weeks last year - has
19,Noma Tokyo,ran for,five weeks last year - has
19,five weeks last year - has,created,frenzy
19,frenzy,for,food enthusiasts
19,food enthusiasts,looking to snag,seat
19,seat,for,much-anticipated opening
19,$ 339 USD,per,person
19,$ 339 USD,per,pricey pop-up
19,"27,000 people",on,waiting list
19,Sydney neighborhood of Barangaroo earlier week,opened,doors
19,Noma Australia,opened,doors
19,doors,with,menu
19,menu,inspired by,restaurant 's harborside location
19,The coastally-driven dishes,boast,several varieties of oceanic plants
19,The coastally-driven dishes,boast,sea vegetables
19,several varieties of oceanic plants,as,strawberry clams
19,several varieties of oceanic plants,as,sea urchin
19,several varieties of oceanic plants,as,flame cockle
19,sea vegetables,as,strawberry clams
19,sea vegetables,as,sea urchin
19,sea vegetables,as,flame cockle
19,Produce,utilized include,wild berries
19,Produce,utilized include,lantana flowers
19,Produce,utilized include,lemon myrtle
19,items,utilized include,wild berries
19,items,utilized include,lantana flowers
19,items,utilized include,lemon myrtle
19,wild berries,while,proteins
19,lantana flowers,while,proteins
19,lemon myrtle,while,proteins
19,proteins,include,local ants
19,proteins,include,magpie goose
19,your gastronomic dictionary,are,dishes
19,dishes,featured on,menu
19,menu,according to,eager Instagrammers ( are subject to change before Noma Australia closes doors on April 2 )
20,Earlier week woman,in,local KFC restaurant manager
20,Georgia Carter,in,Richmond
20,local KFC restaurant manager about hour,in,Richmond
20,Richmond,in,local KFC restaurant manager
20,local KFC restaurant manager,in,Richmond
20,Va.,in,Richmond
20,Va.,in,local KFC restaurant manager
20,Georgia Carter,in,local KFC restaurant manager
20,Richmond,in,local KFC restaurant manager
20,Georgia Carter,in,local KFC restaurant manager
20,local TV station,in,local KFC restaurant manager
20,local TV station,in,local KFC restaurant manager
20,country,is talking about,inclusion
20,one side,is talking about,inclusion
20,inclusion,while,message of exclusion
20,inclusion,while,ideas of acceptance
20,inclusion,while,discrimination
20,Earlier week woman,in,Richmond
20,Earlier week woman,in,Va.
20,Richmond,claims,Georgia Carter
20,Va.,claims,Georgia Carter
20,Georgia Carter,was fired by,local KFC restaurant manager about hour
20,local KFC restaurant manager about hour,after being hired once,local KFC restaurant manager
20,local KFC restaurant manager,found out,Georgia Carter
20,Georgia Carter,contacted,local TV station
20,local TV station,in,Richmond
20,Richmond,after,Georgia Carter
20,Georgia Carter,received,phone call
20,phone call,from,local KFC restaurant manager
20,Georgia Carter,told,local reporter restaurant 's management
20,male,were,which bathroom she
