index,s1,r,s2,t1,t2,ct1,ct2
0,Harry Reasoner,trial,attorney,/PERSON,,,
1,Forecasting,part of,Litigation Sciences,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
2,interviews,with,jurors,,,,
3,master 's degree,in,classical arts,,,,
3,master 's degree,in,deli,,,,
4,Litigation Sciences,represents,defense,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
5,corporate America,predicting,litigation,,,,
6,Litigation Sciences,is,law,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
7,Litigation Sciences,unit of,Saatchi & amp ; Saatchi PLC,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
7,Litigation Sciences,of,100 psychologists,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
8,billion jury verdict,against,Texaco Inc,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
9,defense,of,antitrust charges,,,,
9,antitrust charges,by,United States Football League,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
10,recall,of,mushrooms,,/SUBSTANCE,,
10,recall,blamed for,food poisoning,,,,
11,China,exported,65 million pounds,/GPE/COUNTRY /GPE,,,
11,65 million pounds,valued,47 million,,,,
12,spokesman,for,Chinese Embassy,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
13,management turnover,at,Reebok International,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
13,management turnover,resignation,president,,,,
13,Joseph LaBonte,joined,Reebok,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
14,LaBonte,follows,two months,/PERSON,,,
14,Mark Goldston,as,senior,/PERSON,,,
14,11 months,at,Reebok,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
15,alimony income,spotted by,computer,,,,
15,payer,gets,former spouse,,,,
16,Passport applicants,must give,Social Security numbers,,/ORGANIZATION,,
17,IRS computers,focus,target groups,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
18,IRS,are,local or regional,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
19,national office,has,21 noncriminal audit projects,,,,
20,Lipstein,absence,trouble,/PERSON,,,
21,Lipstein,in,telephone interview,/PERSON,,,
22,president,of,Meredith,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
23,American,unit of,Publishing,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
23,Express,unit of,Publications,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
24,Tharp,fouled,net,/PERSON,,,
24,net,on,IRS project,,/ORGANIZATION,,
24,IRS project,catch,catfish farmers,/ORGANIZATION,,,
25,Tharp,pleaded,guilty,/PERSON,,,
26,high income,with,phony tax shelters,,,,
26,losses,from,dentists,,,,
27,IRS,won,Church of Scientology,/ORGANIZATION/GOVERNMENT /ORGANIZATION,/ORGANIZATION,,
27,Church of Scientology,over,exemptions,/ORGANIZATION,,,
28,IRS statistics,show,income,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,,
28,hiders,of,sole proprietors,,,,
28,sole proprietors,among,dealers,,,,
28,sole proprietors,of,entertainment producers,,,,
29,Telemedia,publish,Eating Well,/ORGANIZATION /ORGANIZATION/CORPORATION,/WORK_OF_ART,,
29,Telemedia,publish,food,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
30,Hearst,publish,first issue,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
31,Time Warner,developing,spinoff,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
31,spinoff,of,kids,,,,
32,president,of,80 magazines,,,,
33,Schwartz,is a,business executive,/PERSON,,,
33,Schwartz,in,writer,/PERSON,,,
33,writer,in,New York,,/GPE/CITY /GPE,,
34,agent,of,Jackson,,/PERSON,,
36,Jackson,won,nickname,/PERSON,,,
36,Jackson,for,World Series exploits,/PERSON,,,
37,Jack Smalling,a,dealer,/PERSON,,,
37,dealer,in,Ames,,/GPE/CITY /GPE,,
39,Ramada,hopes to propose,new restructuring plan,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
40,Shares,of,American Medical International,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
40,American Medical International,agreed,lower price,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
40,lower price,agreed,group,,,,
40,group,from,First Boston,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
41,group,offering,a share,,,,
41,a share,for,63 million American Medical shares,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
43,McCaw,offering,125 a share,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
43,McCaw,for,22 million LIN shares,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
43,proposal,off,television properties,,,,
44,LIN shares,dropping,5,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
45,BellSouth,viewed,corporate buyer,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
46,Rattner,of,Lazard,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
47,volumes,of its,amount,,,,
48,Resource Partners,owner of,technology,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
48,Resource,of,royalty payments,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
49,Alan Gaines,of,New York money-management firm Gaines Berland,/PERSON,/GPE/CITY /PERSON /GPE,,
50,Steven Rattner,a,partner,/PERSON,,,
50,partner,with,merger specialist,,,,
51,Campeau,weakening,month,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
52,Diane S. Killory,will join,Morrison & amp ; Foerster,/PERSON,,,
52,Morrison & amp ; Foerster,as,partner,,,,
52,a partner,in,Washington,,/GPE/CITY /GPE,,
54,Killory,resigned as,Federal Communications Commission general counsel,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
55,woman,appointed,FCC general counsel,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
56,RICHARD P. MAGURNO,formerly,Eastern Airlines,/PERSON,/ORGANIZATION /ORGANIZATION/CORPORATION,,
56,RICHARD P. MAGURNO,joined,lawyer,/PERSON,,,
58,EC steel industry,coping,European demand,,,,
58,steel industry,supplying,market,,,,
59,Japan,shipping,steel,/GPE/COUNTRY /GPE,,,
60,quota,increased about,tons,,,,
61,Japan,agreed,quota,/GPE/COUNTRY /GPE,,,
61,quota,cut,5,,,,
61,quota,from,previously,,,,
62,state,combed,records,,,,
62,records,through,architects,,,,
62,records,relating to,architects,,,,
62,architects,to,lawyers,,,,
62,lawyers,relating to,New York City area,,/GPE/CITY /GPE,,
62,homeowners,claim,residents,,,,
64,Schmedel,is editor,editor,/PERSON,,,
64,editor,of,Street Journal,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
65,market test,in,Denver,,/GPE/CITY /GPE,,
66,hook consumers,on,detergent,,,,
66,combinations,in,pouches,,,,
67,Cheer,is,ingredient,,,,
68,Hugh Zurkuhlen,an,analyst,/PERSON,,,
68,analyst,at,Salomon Bros,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
70,accord,concerning,military bases,,/GPE/COUNTRY /GPE,,
71,extradition,a,Palestinian terrorist,,,,
72,Greek courts,decided,favor,,,,
72,favor,in,Rashid case,,,,
73,steelmakers,supplied,80,/GPE/COUNTRY /GPE,,,
73,steelmakers,of,tons,,,,
74,negotiations,allocate,15,,,,
75,countries,do n't have,steel quotas,,,,
75,Argentina,supplied,Argentina,/GPE/COUNTRY /GPE,/GPE/COUNTRY /GPE,,
76,countries,made,informal agreements,,,,
78,Golden Gate Bridge,via,15 minutes,/ORGANIZATION,,,
79,traffic,over,Golden Gate,,,,
80,Charles Catania,an,insurance broker,/PERSON,,,
80,insurance broker,on,bus,,,,
81,spokeswoman,for,BankAmerica,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
83,Direct Selling Association,a,trade group,/ORGANIZATION,,,
83,members,include,IRS,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
84,project,began,1988,,,,
84,project,involves,agents,,,,
85,Raymond P. Keenan,ended,assistant commissioner,/PERSON,,,
86,Jerry Lackey,manages,IRS project,/PERSON,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
86,force,in,Florida,,/GPE,,
87,Retailers,in,Phoenix,,/GPE/CITY /GPE,,
88,A P & amp ; G spokeswoman,confirmed,shipments,,,,
88,shipments,to,Phoenix,,/GPE/CITY /GPE,,
89,company,introduced,superconcentrated Lemon Cheer,,/SUBSTANCE,,
89,Lemon Cheer,in,Japan,/SUBSTANCE,/GPE,,
90,Attack,hit,shelves,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
90,share,in,share,,,,
90,share,of,8,,,,
91,International Business Machines,hired,marketing professor,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
94,IBM,won,case,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
95,Enron,considering building,power plants,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
95,500 megawatts,producing,300 million,,,,
98,Quantum,of,acquisition,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
98,acquisition,of,billion,,,,
99,Petrolane,is,propane distributor,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
100,Suburban Propane,owned,Propane,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
100,Suburban Propane,owned by,Quantum,/ORGANIZATION /ORGANIZATION/CORPORATION,/ORGANIZATION /ORGANIZATION/CORPORATION,,
101,Bay area,wedged,subways,,,,
102,Bay Bridge,to,artery,,,,
102,artery,to,ramps,,,,
103,repair,to,repair,,,,
103,repair,to,the 101 connections,,,,
104,Bay Area Rapid Transit subway system,carried,50 % more passengers,/ORGANIZATION,,,
104,Bay Area Rapid Transit subway system,carried,normal,/ORGANIZATION,,,
105,UAL,fell,a share,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
105,composite trading,on,New York Stock Exchange,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
106,pilots,put up,200 million,,,,
106,200 million,in,cost concessions,,,,
107,UAL management,pay,15 million,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
107,15 million,for,10,,,,
108,Citicorp,fell,bank financing,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
109,UAL stock,fallen,33,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
109,UAL stock,of,takeover stock,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
110,Automatic Data,converted,common,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
111,Automatic Data,redeeming,bonds,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
111,interest,on,dividend yield,,,,
112,Dow Jones & amp,extended,tender offer,,,,
112,tender offer,of,18 a share,,,,
112,33,of,Telerate,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
113,two independent directors,rejected,inadequate,,,,
114,Dow Jones,extended,offer,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
114,offer,allow,shareholders time,,,,
114,shareholders time,review,Dow Jones tender offer circular,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
116,Quantum,confronts,disaster,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
116,disaster,at,plant,,,,
117,prolonged production halt,at,plant,,,,
118,plant,running,lost profit,,,,
118,claims,under,insurance,,,,
119,Fulbright & amp ; Jaworski,of,Houston,/PERSON,/GPE/CITY /GPE,,
121,firms,together,exports,,,,
123,Shere,draw,cookbook,/PERSON,,,
123,cookbook,published by,Random House,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
125,pastry,express,notes,,,,
125,Baker 's Dozen,of,California pastry chefs,/ORGANIZATION /ORGANIZATION/CORPORATION,/GPE/CITY /GPE,,
126,Food manufacturer,changes,spelling,,,,
127,price,more,polyethylene,,/SUBSTANCE,,
127,polyethylene,more,commodity plastics,/SUBSTANCE,,,
128,price,of,ethylene,,/SUBSTANCE,,
129,plants,cover,ethylene needs,,/SUBSTANCE,,
130,China,putting in,huge orders,,,,
130,huge orders,for,polyethylene,,/SUBSTANCE,,
131,Slick graphics,for,effectiveness,,,,
133,Stephen Gillers,a,legal ethics expert,/PERSON,,,
133,legal ethics expert,at,New York University law school,,,,
134,Litigation Sciences,concedes,one in 20 cases,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
136,gain,included,gain,,,,
136,gain,was,77 million,,,,
136,gain,from,institutional money management business,,,,
137,period,restated,net income,,,,
137,net income,of,8 million,,,,
138,Shearson,had,net income,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
138,net income,of,55 million,,,,
139,Shearson,lost,cents,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
140,Bank,decided to guarantee,commercial bank financing,/ORGANIZATION/GOVERNMENT /GPE/COUNTRY /ORGANIZATION,,,
140,purchase,for,two Boeing Co. 767 airliners,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
140,purchase,of,Avianca,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
141,Mexico,exported,average,/GPE/COUNTRY /GPE,,,
141,average,of,crude oil,,/SUBSTANCE,,
142,New orders,for,durable goods,,,,
142,goods,back,September,,,,
143,Sally Kleinman,an,economist,/PERSON,,,
143,economist,at,Manufacturers Hanover Securities,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
143,Manufacturers Hanover Securities,in,New York,/ORGANIZATION /ORGANIZATION/CORPORATION,/GPE/CITY /GPE,,
144,Orders,for,military goods,,,,
144,Orders,catapult,September,,,,
145,numbers,in,durable goods report,,,,
145,durable goods report,adjusted,seasonal fluctuations,,,,
146,president,of,chief executive officer,,,,
146,chief executive officer,of,pipeline and marketing concern,,,,
146,chief executive officer,of,pipeline,,,,
148,TransCanada,transports,gas,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
148,gas,moves eastward from,Alberta,,/GPE,,
149,vice president,of,Gas,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
150,former owner,of,of Crete,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
151,Papandreou,received,23 million,/PERSON,,,
151,23 million,of,stolen Bank of Crete,,/ORGANIZATION,,
151,57 million,in,bribes,,,,
152,PASOK members,implicated,Koskotas,/ORGANIZATION,/PERSON /ORGANIZATION,,
152,PASOK members,of,refer,/ORGANIZATION,,,
152,PASOK,to,special court,/ORGANIZATION,,,
153,Carpenter,a,regional correspondent,/PERSON,,,
153,regional correspondent,for,National Review,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
154,federal appeals court,in,San Francisco,,/GPE/CITY /GPE,,
155,suit,filed,shareholders,,,,
155,shareholders,of,Apple Computer,,/ORGANIZATION /ORGANIZATION/CORPORATION,,
156,Boston Edison,take,60 million charge,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
156,60 million charge,against,earnings,,,,
156,earnings,in,the fourth quarter,,,,
157,charge,from,settlement approved,,,,
157,settlement approved,by,Massachusetts Department,,/ORGANIZATION/GOVERNMENT /ORGANIZATION,,
158,settlement,limits,rate increases,,,,
158,rate increases,ties,three years,,,,
158,future charges,ties,future charges,,,,
159,Pilgrim,closed,32 months,/ORGANIZATION /ORGANIZATION/CORPORATION,,,
160,pastry chef,of,chef,,,,
161,jury,in,1986,,,,
162,jury,awarded,USFL,,/ORGANIZATION,,
162,1,trebled,antitrust claims,,,,
163,Court of Appeals,in,New York,/GPE/COUNTRY /GPE,/GPE/CITY /GPE,,
163,million award,of,fees,,,,
164,Harvey D. Myerson,of,Myerson & amp ; Kuhn,/PERSON,/PERSON,,
164,Harvey D. Myerson,of,"Finley , Kumble , Wagner , Heine , Underberg , Manley , Myerson & amp",/PERSON,,,
165,Douglas R. Pappas,of,Myerson & amp ; Kuhn,/PERSON,,,
